County,Year,Total_Homeless,2014_Population_Estimate,Jan_Median_Temp,Jan_Mean_Temp,Jan_Min_Temp,Jan_Max_Temp
Bernalillo_County,2014,1254,675647,29.0,30.8,8.0,64.0
Clark_County,2014,7443,2069146,62.0,61.5,48.0,79.0
Cook_County,2014,1182,5248704,19.0,16.6,-15.0,47.0
Dallas_County,2014,3514,2519625,45.0,44.8,15.0,74.0
Davidson_County,2014,2234,669094,35.0,33.2,1.0,63.0
Denver_County,2014,6621,663963,30.0,29.5,-8.0,64.0
Fulton_County,2014,477,996463,37.0,36.7,6.0,67.0
Hennepin_County,2014,3731,1212097,9.0,9.6,-22.0,39.0
Jackson_County,2014,1931,683683,28.0,26.7,-8.0,63.0
King_County,2014,8949,2082288,43.0,41.8,28.0,59.0
Los_Angeles_County,2014,34393,10109436,62.0,61.5,48.0,79.0
Maricopa_County,2014,5918,4090022,54.0,53.5,32.0,77.0
Marion_County,2014,1890,934531,21.5,20.3,-14.0,50.0
Mecklenburg_County,2014,2014,1011928,38.0,36.9,7.0,64.0
Miami_Dade_County,2014,4156,2668903,68.0,66.9,41.0,83.0
New_York_County,2014,67810,1636966,31.0,30.6,4.0,58.0
Philadelphia_County,2014,5738,1561562,28.0,30.1,4.0,64.0
San_Francisco_County,2014,6408,852537,57.0,56.7,51.0,62.0
Suffolk_County,2014,5987,769809,28.0,28.3,1.0,58.0
Wayne_County,2014,2755,1766008,17.0,17.7,-14.0,45.0
