County,Year,Jan_Min_Temp,Jan_Max_Temp,Jan_Mean_Temp,Jan_Median_Temp
Bernalillo_County,2015,14.0,59.0,31.4,31.0
Clark_County,2015,43.0,75.0,57.5,56.0
Cook_County,2015,-8.0,43.0,23.3,27.0
Dallas_County,2015,17.0,79.0,43.5,41.0
Davidson_County,2015,4.0,67.0,38.4,38.0
Denver_County,2015,-9.0,72.0,32.1,31.0
Fulton_County,2015,10.0,66.0,42.1,42.0
Hennepin_County,2015,-11.0,45.0,20.2,25.0
Jackson_County,2015,0.0,73.0,32.3,33.0
King_County,2015,25.0,63.0,44.2,44.0
Los_Angeles_County,2015,43.0,75.0,57.5,56.0
Maricopa_County,2015,27.0,77.0,53.8,55.0
Marion_County,2015,-7.0,52.0,26.5,29.0
Mecklenburg_County,2015,10.0,67.0,41.1,41.0
Miami_Dade_County,2015,50.0,83.0,69.6,71.0
New_York_County,2015,8.0,56.0,30.8,32.0
Philadelphia_County,2015,9.0,59.0,31.8,32.0
San_Francisco_County,2015,47.0,63.0,55.6,56.0
Suffolk_County,2015,-1.0,52.0,26.5,27.0
Wayne_County,2015,-2.0,42.0,21.9,25.0
