CoC Number,CoC Name,Year,Attribute Name,Value,Year - Text
AK-500,Anchorage CoC,01/01/2014 12:00:00 AM,Chronically Homeless,101,2014
AK-500,Anchorage CoC,01/01/2014 12:00:00 AM,Sheltered Homeless People in Families,282,2014
AK-500,Anchorage CoC,01/01/2014 12:00:00 AM,Homeless Individuals,736,2014
AK-500,Anchorage CoC,01/01/2014 12:00:00 AM,Homeless People in Families,287,2014
AK-500,Anchorage CoC,01/01/2014 12:00:00 AM,Unsheltered Homeless Individuals,48,2014
AK-500,Anchorage CoC,01/01/2014 12:00:00 AM,Unsheltered Homeless Veterans,18,2014
AK-500,Anchorage CoC,01/01/2014 12:00:00 AM,Sheltered Homeless,970,2014
AK-500,Anchorage CoC,01/01/2014 12:00:00 AM,Total Homeless,1023,2014
AK-500,Anchorage CoC,01/01/2014 12:00:00 AM,Chronically Homeless People in Families,7,2014
AK-500,Anchorage CoC,01/01/2014 12:00:00 AM,Unsheltered Homeless,53,2014
AK-500,Anchorage CoC,01/01/2014 12:00:00 AM,Homeless Veterans,138,2014
AK-500,Anchorage CoC,01/01/2014 12:00:00 AM,Unsheltered Chronically Homeless People in Families,4,2014
AK-500,Anchorage CoC,01/01/2014 12:00:00 AM,Unsheltered Chronically Homeless,42,2014
AK-500,Anchorage CoC,01/01/2014 12:00:00 AM,Unsheltered Chronically Homeless Individuals,38,2014
AK-500,Anchorage CoC,01/01/2014 12:00:00 AM,Sheltered Chronically Homeless People in Families,3,2014
AK-500,Anchorage CoC,01/01/2014 12:00:00 AM,Sheltered Chronically Homeless,59,2014
AK-500,Anchorage CoC,01/01/2014 12:00:00 AM,Sheltered Chronically Homeless Individuals,56,2014
AK-500,Anchorage CoC,01/01/2014 12:00:00 AM,Unsheltered Homeless People in Families,5,2014
AK-500,Anchorage CoC,01/01/2014 12:00:00 AM,Sheltered Homeless Veterans,120,2014
AK-500,Anchorage CoC,01/01/2014 12:00:00 AM,Chronically Homeless Individuals,94,2014
AK-500,Anchorage CoC,01/01/2014 12:00:00 AM,Sheltered Homeless Individuals,688,2014
AK-501,Alaska Balance of State CoC,01/01/2014 12:00:00 AM,Chronically Homeless,105,2014
AK-501,Alaska Balance of State CoC,01/01/2014 12:00:00 AM,Sheltered Homeless People in Families,248,2014
AK-501,Alaska Balance of State CoC,01/01/2014 12:00:00 AM,Homeless Individuals,473,2014
AK-501,Alaska Balance of State CoC,01/01/2014 12:00:00 AM,Homeless People in Families,288,2014
AK-501,Alaska Balance of State CoC,01/01/2014 12:00:00 AM,Unsheltered Homeless Individuals,52,2014
AK-501,Alaska Balance of State CoC,01/01/2014 12:00:00 AM,Unsheltered Homeless Veterans,0,2014
AK-501,Alaska Balance of State CoC,01/01/2014 12:00:00 AM,Sheltered Homeless,669,2014
AK-501,Alaska Balance of State CoC,01/01/2014 12:00:00 AM,Total Homeless,761,2014
AK-501,Alaska Balance of State CoC,01/01/2014 12:00:00 AM,Chronically Homeless People in Families,17,2014
AK-501,Alaska Balance of State CoC,01/01/2014 12:00:00 AM,Unsheltered Homeless,92,2014
AK-501,Alaska Balance of State CoC,01/01/2014 12:00:00 AM,Homeless Veterans,40,2014
AK-501,Alaska Balance of State CoC,01/01/2014 12:00:00 AM,Unsheltered Chronically Homeless People in Families,2,2014
AK-501,Alaska Balance of State CoC,01/01/2014 12:00:00 AM,Unsheltered Chronically Homeless,27,2014
AK-501,Alaska Balance of State CoC,01/01/2014 12:00:00 AM,Unsheltered Chronically Homeless Individuals,25,2014
AK-501,Alaska Balance of State CoC,01/01/2014 12:00:00 AM,Sheltered Chronically Homeless People in Families,15,2014
AK-501,Alaska Balance of State CoC,01/01/2014 12:00:00 AM,Sheltered Chronically Homeless,78,2014
AK-501,Alaska Balance of State CoC,01/01/2014 12:00:00 AM,Sheltered Chronically Homeless Individuals,63,2014
AK-501,Alaska Balance of State CoC,01/01/2014 12:00:00 AM,Unsheltered Homeless People in Families,40,2014
AK-501,Alaska Balance of State CoC,01/01/2014 12:00:00 AM,Sheltered Homeless Veterans,40,2014
AK-501,Alaska Balance of State CoC,01/01/2014 12:00:00 AM,Chronically Homeless Individuals,88,2014
AK-501,Alaska Balance of State CoC,01/01/2014 12:00:00 AM,Sheltered Homeless Individuals,421,2014
AL-500,"Birmingham/Jefferson, St. Clair, Shelby Counties CoC",01/01/2014 12:00:00 AM,Chronically Homeless,331,2014
AL-500,"Birmingham/Jefferson, St. Clair, Shelby Counties CoC",01/01/2014 12:00:00 AM,Sheltered Homeless People in Families,343,2014
AL-500,"Birmingham/Jefferson, St. Clair, Shelby Counties CoC",01/01/2014 12:00:00 AM,Homeless Individuals,915,2014
AL-500,"Birmingham/Jefferson, St. Clair, Shelby Counties CoC",01/01/2014 12:00:00 AM,Homeless People in Families,414,2014
AL-500,"Birmingham/Jefferson, St. Clair, Shelby Counties CoC",01/01/2014 12:00:00 AM,Unsheltered Homeless Individuals,343,2014
AL-500,"Birmingham/Jefferson, St. Clair, Shelby Counties CoC",01/01/2014 12:00:00 AM,Unsheltered Homeless Veterans,20,2014
AL-500,"Birmingham/Jefferson, St. Clair, Shelby Counties CoC",01/01/2014 12:00:00 AM,Sheltered Homeless,915,2014
AL-500,"Birmingham/Jefferson, St. Clair, Shelby Counties CoC",01/01/2014 12:00:00 AM,Total Homeless,1329,2014
AL-500,"Birmingham/Jefferson, St. Clair, Shelby Counties CoC",01/01/2014 12:00:00 AM,Chronically Homeless People in Families,18,2014
AL-500,"Birmingham/Jefferson, St. Clair, Shelby Counties CoC",01/01/2014 12:00:00 AM,Unsheltered Homeless,414,2014
AL-500,"Birmingham/Jefferson, St. Clair, Shelby Counties CoC",01/01/2014 12:00:00 AM,Homeless Veterans,174,2014
AL-500,"Birmingham/Jefferson, St. Clair, Shelby Counties CoC",01/01/2014 12:00:00 AM,Unsheltered Chronically Homeless People in Families,16,2014
AL-500,"Birmingham/Jefferson, St. Clair, Shelby Counties CoC",01/01/2014 12:00:00 AM,Unsheltered Chronically Homeless,235,2014
AL-500,"Birmingham/Jefferson, St. Clair, Shelby Counties CoC",01/01/2014 12:00:00 AM,Unsheltered Chronically Homeless Individuals,219,2014
AL-500,"Birmingham/Jefferson, St. Clair, Shelby Counties CoC",01/01/2014 12:00:00 AM,Sheltered Chronically Homeless People in Families,2,2014
AL-500,"Birmingham/Jefferson, St. Clair, Shelby Counties CoC",01/01/2014 12:00:00 AM,Sheltered Chronically Homeless,96,2014
AL-500,"Birmingham/Jefferson, St. Clair, Shelby Counties CoC",01/01/2014 12:00:00 AM,Sheltered Chronically Homeless Individuals,94,2014
AL-500,"Birmingham/Jefferson, St. Clair, Shelby Counties CoC",01/01/2014 12:00:00 AM,Unsheltered Homeless People in Families,71,2014
AL-500,"Birmingham/Jefferson, St. Clair, Shelby Counties CoC",01/01/2014 12:00:00 AM,Sheltered Homeless Veterans,154,2014
AL-500,"Birmingham/Jefferson, St. Clair, Shelby Counties CoC",01/01/2014 12:00:00 AM,Chronically Homeless Individuals,313,2014
AL-500,"Birmingham/Jefferson, St. Clair, Shelby Counties CoC",01/01/2014 12:00:00 AM,Sheltered Homeless Individuals,572,2014
AL-501,Mobile City & County/Baldwin County CoC,01/01/2014 12:00:00 AM,Chronically Homeless,75,2014
AL-501,Mobile City & County/Baldwin County CoC,01/01/2014 12:00:00 AM,Sheltered Homeless People in Families,189,2014
AL-501,Mobile City & County/Baldwin County CoC,01/01/2014 12:00:00 AM,Homeless Individuals,397,2014
AL-501,Mobile City & County/Baldwin County CoC,01/01/2014 12:00:00 AM,Homeless People in Families,201,2014
AL-501,Mobile City & County/Baldwin County CoC,01/01/2014 12:00:00 AM,Unsheltered Homeless Individuals,125,2014
AL-501,Mobile City & County/Baldwin County CoC,01/01/2014 12:00:00 AM,Unsheltered Homeless Veterans,23,2014
AL-501,Mobile City & County/Baldwin County CoC,01/01/2014 12:00:00 AM,Sheltered Homeless,461,2014
AL-501,Mobile City & County/Baldwin County CoC,01/01/2014 12:00:00 AM,Total Homeless,598,2014
AL-501,Mobile City & County/Baldwin County CoC,01/01/2014 12:00:00 AM,Chronically Homeless People in Families,7,2014
AL-501,Mobile City & County/Baldwin County CoC,01/01/2014 12:00:00 AM,Unsheltered Homeless,137,2014
AL-501,Mobile City & County/Baldwin County CoC,01/01/2014 12:00:00 AM,Homeless Veterans,61,2014
AL-501,Mobile City & County/Baldwin County CoC,01/01/2014 12:00:00 AM,Unsheltered Chronically Homeless People in Families,0,2014
AL-501,Mobile City & County/Baldwin County CoC,01/01/2014 12:00:00 AM,Unsheltered Chronically Homeless,36,2014
AL-501,Mobile City & County/Baldwin County CoC,01/01/2014 12:00:00 AM,Unsheltered Chronically Homeless Individuals,36,2014
AL-501,Mobile City & County/Baldwin County CoC,01/01/2014 12:00:00 AM,Sheltered Chronically Homeless People in Families,7,2014
AL-501,Mobile City & County/Baldwin County CoC,01/01/2014 12:00:00 AM,Sheltered Chronically Homeless,39,2014
AL-501,Mobile City & County/Baldwin County CoC,01/01/2014 12:00:00 AM,Sheltered Chronically Homeless Individuals,32,2014
AL-501,Mobile City & County/Baldwin County CoC,01/01/2014 12:00:00 AM,Unsheltered Homeless People in Families,12,2014
AL-501,Mobile City & County/Baldwin County CoC,01/01/2014 12:00:00 AM,Sheltered Homeless Veterans,38,2014
AL-501,Mobile City & County/Baldwin County CoC,01/01/2014 12:00:00 AM,Chronically Homeless Individuals,68,2014
AL-501,Mobile City & County/Baldwin County CoC,01/01/2014 12:00:00 AM,Sheltered Homeless Individuals,272,2014
AL-502,Florence/Northwest Alabama CoC,01/01/2014 12:00:00 AM,Chronically Homeless,13,2014
AL-502,Florence/Northwest Alabama CoC,01/01/2014 12:00:00 AM,Sheltered Homeless People in Families,70,2014
AL-502,Florence/Northwest Alabama CoC,01/01/2014 12:00:00 AM,Homeless Individuals,132,2014
AL-502,Florence/Northwest Alabama CoC,01/01/2014 12:00:00 AM,Homeless People in Families,77,2014
AL-502,Florence/Northwest Alabama CoC,01/01/2014 12:00:00 AM,Unsheltered Homeless Individuals,13,2014
AL-502,Florence/Northwest Alabama CoC,01/01/2014 12:00:00 AM,Unsheltered Homeless Veterans,2,2014
AL-502,Florence/Northwest Alabama CoC,01/01/2014 12:00:00 AM,Sheltered Homeless,189,2014
AL-502,Florence/Northwest Alabama CoC,01/01/2014 12:00:00 AM,Total Homeless,209,2014
AL-502,Florence/Northwest Alabama CoC,01/01/2014 12:00:00 AM,Chronically Homeless People in Families,0,2014
AL-502,Florence/Northwest Alabama CoC,01/01/2014 12:00:00 AM,Unsheltered Homeless,20,2014
AL-502,Florence/Northwest Alabama CoC,01/01/2014 12:00:00 AM,Homeless Veterans,7,2014
AL-502,Florence/Northwest Alabama CoC,01/01/2014 12:00:00 AM,Unsheltered Chronically Homeless People in Families,0,2014
AL-502,Florence/Northwest Alabama CoC,01/01/2014 12:00:00 AM,Unsheltered Chronically Homeless,10,2014
AL-502,Florence/Northwest Alabama CoC,01/01/2014 12:00:00 AM,Unsheltered Chronically Homeless Individuals,10,2014
NJ-512,Salem County CoC,01/01/2015 12:00:00 AM,Homeless Individuals,18,2015
AL-502,Florence/Northwest Alabama CoC,01/01/2014 12:00:00 AM,Sheltered Chronically Homeless People in Families,0,2014
AL-502,Florence/Northwest Alabama CoC,01/01/2014 12:00:00 AM,Sheltered Chronically Homeless,3,2014
AL-502,Florence/Northwest Alabama CoC,01/01/2014 12:00:00 AM,Sheltered Chronically Homeless Individuals,3,2014
AL-502,Florence/Northwest Alabama CoC,01/01/2014 12:00:00 AM,Unsheltered Homeless People in Families,7,2014
AL-502,Florence/Northwest Alabama CoC,01/01/2014 12:00:00 AM,Sheltered Homeless Veterans,5,2014
AL-502,Florence/Northwest Alabama CoC,01/01/2014 12:00:00 AM,Chronically Homeless Individuals,13,2014
AL-502,Florence/Northwest Alabama CoC,01/01/2014 12:00:00 AM,Sheltered Homeless Individuals,119,2014
AL-503,Huntsville/North Alabama CoC,01/01/2014 12:00:00 AM,Chronically Homeless,107,2014
AL-503,Huntsville/North Alabama CoC,01/01/2014 12:00:00 AM,Sheltered Homeless People in Families,150,2014
AL-503,Huntsville/North Alabama CoC,01/01/2014 12:00:00 AM,Homeless Individuals,386,2014
AL-503,Huntsville/North Alabama CoC,01/01/2014 12:00:00 AM,Homeless People in Families,150,2014
AL-503,Huntsville/North Alabama CoC,01/01/2014 12:00:00 AM,Unsheltered Homeless Individuals,37,2014
AL-503,Huntsville/North Alabama CoC,01/01/2014 12:00:00 AM,Unsheltered Homeless Veterans,6,2014
AL-503,Huntsville/North Alabama CoC,01/01/2014 12:00:00 AM,Sheltered Homeless,499,2014
AL-503,Huntsville/North Alabama CoC,01/01/2014 12:00:00 AM,Total Homeless,536,2014
AL-503,Huntsville/North Alabama CoC,01/01/2014 12:00:00 AM,Chronically Homeless People in Families,9,2014
AL-503,Huntsville/North Alabama CoC,01/01/2014 12:00:00 AM,Unsheltered Homeless,37,2014
AL-503,Huntsville/North Alabama CoC,01/01/2014 12:00:00 AM,Homeless Veterans,64,2014
AL-503,Huntsville/North Alabama CoC,01/01/2014 12:00:00 AM,Unsheltered Chronically Homeless People in Families,0,2014
AL-503,Huntsville/North Alabama CoC,01/01/2014 12:00:00 AM,Unsheltered Chronically Homeless,23,2014
AL-503,Huntsville/North Alabama CoC,01/01/2014 12:00:00 AM,Unsheltered Chronically Homeless Individuals,23,2014
AL-503,Huntsville/North Alabama CoC,01/01/2014 12:00:00 AM,Sheltered Chronically Homeless People in Families,9,2014
AL-503,Huntsville/North Alabama CoC,01/01/2014 12:00:00 AM,Sheltered Chronically Homeless,84,2014
AL-503,Huntsville/North Alabama CoC,01/01/2014 12:00:00 AM,Sheltered Chronically Homeless Individuals,75,2014
AL-503,Huntsville/North Alabama CoC,01/01/2014 12:00:00 AM,Unsheltered Homeless People in Families,0,2014
AL-503,Huntsville/North Alabama CoC,01/01/2014 12:00:00 AM,Sheltered Homeless Veterans,58,2014
AL-503,Huntsville/North Alabama CoC,01/01/2014 12:00:00 AM,Chronically Homeless Individuals,98,2014
AL-503,Huntsville/North Alabama CoC,01/01/2014 12:00:00 AM,Sheltered Homeless Individuals,349,2014
AL-504,Montgomery City & County CoC,01/01/2014 12:00:00 AM,Chronically Homeless,37,2014
AL-504,Montgomery City & County CoC,01/01/2014 12:00:00 AM,Sheltered Homeless People in Families,114,2014
AL-504,Montgomery City & County CoC,01/01/2014 12:00:00 AM,Homeless Individuals,365,2014
AL-504,Montgomery City & County CoC,01/01/2014 12:00:00 AM,Homeless People in Families,125,2014
AL-504,Montgomery City & County CoC,01/01/2014 12:00:00 AM,Unsheltered Homeless Individuals,70,2014
AL-504,Montgomery City & County CoC,01/01/2014 12:00:00 AM,Unsheltered Homeless Veterans,14,2014
AL-504,Montgomery City & County CoC,01/01/2014 12:00:00 AM,Sheltered Homeless,409,2014
AL-504,Montgomery City & County CoC,01/01/2014 12:00:00 AM,Total Homeless,490,2014
AL-504,Montgomery City & County CoC,01/01/2014 12:00:00 AM,Chronically Homeless People in Families,2,2014
AL-504,Montgomery City & County CoC,01/01/2014 12:00:00 AM,Unsheltered Homeless,81,2014
AL-504,Montgomery City & County CoC,01/01/2014 12:00:00 AM,Homeless Veterans,39,2014
AL-504,Montgomery City & County CoC,01/01/2014 12:00:00 AM,Unsheltered Chronically Homeless People in Families,0,2014
AL-504,Montgomery City & County CoC,01/01/2014 12:00:00 AM,Unsheltered Chronically Homeless,25,2014
AL-504,Montgomery City & County CoC,01/01/2014 12:00:00 AM,Unsheltered Chronically Homeless Individuals,25,2014
AL-504,Montgomery City & County CoC,01/01/2014 12:00:00 AM,Sheltered Chronically Homeless People in Families,2,2014
AL-504,Montgomery City & County CoC,01/01/2014 12:00:00 AM,Sheltered Chronically Homeless,12,2014
AL-504,Montgomery City & County CoC,01/01/2014 12:00:00 AM,Sheltered Chronically Homeless Individuals,10,2014
AL-504,Montgomery City & County CoC,01/01/2014 12:00:00 AM,Unsheltered Homeless People in Families,11,2014
AL-504,Montgomery City & County CoC,01/01/2014 12:00:00 AM,Sheltered Homeless Veterans,25,2014
AL-504,Montgomery City & County CoC,01/01/2014 12:00:00 AM,Chronically Homeless Individuals,35,2014
AL-504,Montgomery City & County CoC,01/01/2014 12:00:00 AM,Sheltered Homeless Individuals,295,2014
AL-505,Gadsden/Northeast Alabama CoC,01/01/2014 12:00:00 AM,Chronically Homeless,36,2014
AL-505,Gadsden/Northeast Alabama CoC,01/01/2014 12:00:00 AM,Sheltered Homeless People in Families,53,2014
