"STATION","DATE","REPORT_TYPE","SOURCE","AWND","BackupDirection","BackupDistance","BackupDistanceUnit","BackupElements","BackupElevation","BackupElevationUnit","BackupEquipment","BackupLatitude","BackupLongitude","BackupName","CDSD","CLDD","DSNW","DailyAverageDewPointTemperature","DailyAverageDryBulbTemperature","DailyAverageRelativeHumidity","DailyAverageSeaLevelPressure","DailyAverageStationPressure","DailyAverageWetBulbTemperature","DailyAverageWindSpeed","DailyCoolingDegreeDays","DailyDepartureFromNormalAverageTemperature","DailyHeatingDegreeDays","DailyMaximumDryBulbTemperature","DailyMinimumDryBulbTemperature","DailyPeakWindDirection","DailyPeakWindSpeed","DailyPrecipitation","DailySnowDepth","DailySnowfall","DailySustainedWindDirection","DailySustainedWindSpeed","DailyWeather","HDSD","HTDD","HeavyFog","HourlyAltimeterSetting","HourlyDewPointTemperature","HourlyDryBulbTemperature","HourlyPrecipitation","HourlyPresentWeatherType","HourlyPressureChange","HourlyPressureTendency","HourlyRelativeHumidity","HourlySeaLevelPressure","HourlySkyConditions","HourlyStationPressure","HourlyVisibility","HourlyWetBulbTemperature","HourlyWindDirection","HourlyWindGustSpeed","HourlyWindSpeed","MonthlyAverageRH","MonthlyDaysWithGT001Precip","MonthlyDaysWithGT010Precip","MonthlyDaysWithGT32Temp","MonthlyDaysWithGT90Temp","MonthlyDaysWithLT0Temp","MonthlyDaysWithLT32Temp","MonthlyDepartureFromNormalAverageTemperature","MonthlyDepartureFromNormalCoolingDegreeDays","MonthlyDepartureFromNormalHeatingDegreeDays","MonthlyDepartureFromNormalMaximumTemperature","MonthlyDepartureFromNormalMinimumTemperature","MonthlyDepartureFromNormalPrecipitation","MonthlyDewpointTemperature","MonthlyGreatestPrecip","MonthlyGreatestPrecipDate","MonthlyGreatestSnowDepth","MonthlyGreatestSnowDepthDate","MonthlyGreatestSnowfall","MonthlyGreatestSnowfallDate","MonthlyMaxSeaLevelPressureValue","MonthlyMaxSeaLevelPressureValueDate","MonthlyMaxSeaLevelPressureValueTime","MonthlyMaximumTemperature","MonthlyMeanTemperature","MonthlyMinSeaLevelPressureValue","MonthlyMinSeaLevelPressureValueDate","MonthlyMinSeaLevelPressureValueTime","MonthlyMinimumTemperature","MonthlySeaLevelPressure","MonthlyStationPressure","MonthlyTotalLiquidPrecipitation","MonthlyTotalSnowfall","MonthlyWetBulb","NormalsCoolingDegreeDay","NormalsHeatingDegreeDay","REM","REPORT_TYPE","SOURCE","ShortDurationEndDate005","ShortDurationEndDate010","ShortDurationEndDate015","ShortDurationEndDate020","ShortDurationEndDate030","ShortDurationEndDate045","ShortDurationEndDate060","ShortDurationEndDate080","ShortDurationEndDate100","ShortDurationEndDate120","ShortDurationEndDate150","ShortDurationEndDate180","ShortDurationPrecipitationValue005","ShortDurationPrecipitationValue010","ShortDurationPrecipitationValue015","ShortDurationPrecipitationValue020","ShortDurationPrecipitationValue030","ShortDurationPrecipitationValue045","ShortDurationPrecipitationValue060","ShortDurationPrecipitationValue080","ShortDurationPrecipitationValue100","ShortDurationPrecipitationValue120","ShortDurationPrecipitationValue150","ShortDurationPrecipitationValue180","Sunrise","Sunset","TStorms","WindEquipmentChangeDate"
"72292023191","2014-01-01T00:51:00","FM-15","7",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"30.12","38","53","0.00",,"+0.01","8","57","30.09","CLR:00","28.42","10.00","46","230",,"5",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"MET10101/01/14 00:51:02 METAR KAVX 010851Z 23004KT 10SM CLR 12/03 A3012 RMK AO2 SLP189 T01170033 58005 TSNO","FM-15","7",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"72292023191","2014-01-01T01:51:00","FM-15","7",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"30.12","19","58","0.00",,,,"22","30.08","CLR:00","28.42","10.00","42","000",,"0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"MET09601/01/14 01:51:02 METAR KAVX 010951Z 00000KT 10SM CLR 14/M07 A3012 RMK AO2 SLP186 T01441072 TSNO","FM-15","7",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"72292023191","2014-01-01T02:51:00","FM-15","7",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"30.12","19","58","0.00",,,,"22","30.08","CLR:00","28.42","10.00","42","000",,"0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"MET09601/01/14 02:51:02 METAR KAVX 011051Z 00000KT 10SM CLR 14/M07 A3012 RMK AO2 SLP185 T01441072 TSNO","FM-15","7",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"72292023191","2014-01-01T03:51:00","FM-15","7",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"30.10","23","56","0.00",,"+0.01","8","28","30.07","CLR:00","28.40","10.00","42","160",,"3",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"MET11401/01/14 03:51:02 METAR KAVX 011151Z 16003KT 10SM CLR 13/M05 A3010 RMK AO2 SLP184 T01331050 10150 20106 58005 TSNO","FM-15","7",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"72292023191","2014-01-01T04:51:00","FM-15","7",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"30.10","19","57","0.00",,,,"23","30.07","CLR:00","28.40","10.00","42","000",,"0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"MET09601/01/14 04:51:02 METAR KAVX 011251Z 00000KT 10SM CLR 14/M07 A3010 RMK AO2 SLP183 T01391072 TSNO","FM-15","7",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"72292023191","2014-01-01T05:51:00","FM-15","7",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"30.10","23","56","0.00",,,,"28","30.08","CLR:00","28.40","10.00","42","110",,"3",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"MET09601/01/14 05:51:02 METAR KAVX 011351Z 11003KT 10SM CLR 13/M05 A3010 RMK AO2 SLP185 T01331050 TSNO","FM-15","7",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"72292023191","2014-01-01T06:51:00","FM-15","7",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"30.11","21","54","0.00",,"-0.00","3","28","30.09","CLR:00","28.41","10.00","41","000",,"0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"MET10201/01/14 06:51:02 METAR KAVX 011451Z 00000KT 10SM CLR 12/M06 A3011 RMK AO2 SLP189 T01221061 53001 TSNO","FM-15","7",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"72292023191","2014-01-01T07:51:00","FM-15","7",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"30.12","22","59","0.00",,,,"24","30.09","CLR:00","28.42","10.00","43","040",,"3",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"MET09601/01/14 07:51:02 METAR KAVX 011551Z 04003KT 10SM CLR 15/M06 A3012 RMK AO2 SLP191 T01501056 TSNO","FM-15","7",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"72292023191","2014-01-01T08:51:00","FM-15","7",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"30.14","20","61","0.00",,,,"20","30.11","CLR:00","28.44","10.00","44","000",,"0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"MET09601/01/14 08:51:02 METAR KAVX 011651Z 00000KT 10SM CLR 16/M07 A3014 RMK AO2 SLP196 T01611067 TSNO","FM-15","7",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"72292023191","2014-01-01T09:51:00","FM-15","7",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"30.15","24","64","0.00",,"-0.04","1","22","30.11","CLR:00","28.45","10.00","46","070",,"6",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"MET11401/01/14 09:51:02 METAR KAVX 011751Z 07005KT 10SM CLR 18/M04 A3015 RMK AO2 SLP196 T01781044 10183 20117 51014 TSNO","FM-15","7",,,,,,,,,,,,,,,,,,,,,,,,,,,,
